,links,category
0,https://evtol.news/a2-cal-aptos-blue,Vectored Thrust
1,http://evtol.news/a3-by-airbus/,Vectored Thrust
2,https://evtol.news/acs-aviation-z-300/,Vectored Thrust
3,https://evtol.news/advanced-research-foundation-cyclocar,Vectored Thrust
4,https://evtol.news/advanced-system-engineering-bx4/,Vectored Thrust
5,https://evtol.news/advanced-system-engineering-wx4/,Vectored Thrust
6,http://evtol.news/aerog-aviation-ag-4/,Vectored Thrust
7,http://evtol.news/aerog-aviation-uv-4/,Vectored Thrust
8,https://evtol.news/aeronext-flying-gondola/,Vectored Thrust
9,http://evtol.news/agustawestland-project-zero/,Vectored Thrust
10,https://evtol.news/air-race-e-unnamed-evtol-racer,Vectored Thrust
11,http://evtol.news/airisone/,Vectored Thrust
12,http://evtol.news/airspacex/,Vectored Thrust
13,https://evtol.news/aliptera-apv-1/,Vectored Thrust
14,https://evtol.news/american-aerospace-engineering-eversor,Vectored Thrust
15,https://evtol.news/vertiia/,Vectored Thrust
16,https://evtol.news/archer-maker,Vectored Thrust
17,http://evtol.news/archer/,Vectored Thrust
18,http://evtol.news/aston-martin-volante/,Vectored Thrust
19,http://evtol.news/aufeer-design-flying-taxi-concept/,Vectored Thrust
20,http://evtol.news/aurora-flight-sciences/,Vectored Thrust
21,http://evtol.news/autonomous-flight/,Vectored Thrust
22,https://evtol.news/autonomous-flight-y6s-plus,Vectored Thrust
23,https://evtol.news/avioneo-robotics-avioneo-2345,Vectored Thrust
24,https://evtol.news/baaz,Vectored Thrust
25,https://evtol.news/baaz-production-model,Vectored Thrust
26,http://evtol.news/bartini/,Vectored Thrust
27,http://evtol.news/bellapt/,Vectored Thrust
28,https://evtol.news/bell-nexus-4ex/,Vectored Thrust
29,http://evtol.news/bell-air-taxi,Vectored Thrust
30,http://evtol.news/beta-technologies-prototype/,Vectored Thrust
31,https://evtol.news/cadillac-vtol,Vectored Thrust
32,https://evtol.news/cfc-aircar/,Vectored Thrust
33,http://evtol.news/collaborativebee-mini-bee/,Vectored Thrust
34,https://evtol.news/craft-aerospace-unnamed-evtol,Vectored Thrust
35,https://evtol.news/CycloTech-Passenger-Demonstrator,Vectored Thrust
36,https://evtol.news/CycloTech-UAV-demonstrator,Vectored Thrust
37,https://evtol.news/tesla-concept-model-v,Vectored Thrust
38,https://evtol.news/davies-tesla-concept-model-v2,Vectored Thrust
39,https://evtol.news/deep-blue-aviation-mx-18-silhouette-5,Vectored Thrust
