,category,ac_name,link
0,watchlist,Airbus CityAirbus,https://transportup.com/airbus-cityairbus/
1,watchlist,Boeing PAV,https://transportup.com/aurora-flight-sciences-evtol
2,watchlist,Bell Nexus Air Taxi,https://transportup.com/bell-air-taxi
3,watchlist,WISK Cora,https://transportup.com/wisk-cora/
4,watchlist,EHang 216,https://transportup.com/ehang-216/
5,watchlist,Joby Aviation S4,https://transportup.com/joby-aviation/
6,watchlist,Vertical Aerospace VA-1X,https://transportup.com/vertical-aerospace-va-1x/
7,watchlist,Lilium Jet,https://transportup.com/lilium-jet/
8,watchlist,Volocopter 2X,https://transportup.com/volocopter-2x
9,watchlist,Workhorse SureFly,https://transportup.com/workhorse-surefly
10,watchlist,LIFT Hexa,https://transportup.com/lift-hexa/
11,watchlist,Aston Martin Volante,https://transportup.com/supervolant-pegasus/
12,watchlist,Karem Butterfly,https://transportup.com/karem-butterfly
13,watchlist,EmbraerX,https://transportup.com/embraerx-evtol/
14,watchlist,Pipistrel 801 eVTOL,https://transportup.com/pipistrel-evtol-concept
15,watchlist,Skai by Alaka'i Technologies,https://transportup.com/skai-by-alakai-technologies/
16,watchlist,Beta Technologies Alia,https://transportup.com/beta-technologies-alia/
17,watchlist,Jaunt Air Mobility eVTOL,https://transportup.com/carter-aviation-technologies-cartercopter/
18,market,VIMANA AAV,https://transportup.com/vimana-aav-2/
19,market,Sting VTOL,https://transportup.com/sting-vtol
20,market,Terrafugia Transition,https://transportup.com/terrafugia-transition
21,market,Dufour aEro2,https://transportup.com/dufour-aero2
22,market,Zenith Altitude EOPA,https://transportup.com/zenith-altitude-eopa
23,market,Verdego Aero PAT200,https://transportup.com/verdego-aero-pat200
24,market,Terrafugia TF-2,https://transportup.com/terrafugia-tf-2
25,market,PteroDynamics Transwing,https://transportup.com/pterodynamics-transwing
26,market,Terrafugia TF-X,https://transportup.com/terrafugia-tf-x
27,market,Airbus Vahana (Archived),https://transportup.com/airbus-vahana
28,market,AIRIS AirisOne,https://transportup.com/airis-airisone/
29,market,AeroMobil 4.0 STOL,https://transportup.com/aeromobil-4-0-stol/
30,market,AeroMobil 5.0 VTOL,https://transportup.com/aeromobil-5-0-vtol/
31,market,VRCO NeoXCraft,https://transportup.com/vrbo-neoxcraft/
