,category,ac_name,ac_type,link,ac_type_detail,Autonomy Level,Dimensions,Powerplant,Propeller Configuration,Range,Top Speed,dev_stage,references,summary,Passenger/Payload Capacity,Wingspan/Dimensions,prod_stage,powerplant_category,autonomous level
0,watchlist,Airbus CityAirbus,Wingless VTOL,https://transportup.com/airbus-cityairbus/,"Wingless eVTOL, Intracity",Autonomous," 9ft propellor diameter, 26 ft length", All-Electric, 8 lift/thrust rotors (4 dual rotors),60 miles,<span> </span>,preliminary design,"['http://www.airbus.com/newsroom/press-releases/en/2017/10/cityairbus-demonstrator-passes-major-propulsion-testing-mileston.html', 'http://eepurl.com/doMF3v']","The Airbus CityAirbus is the long view approach from the commercial aircraft giant to produce a streamlined passenger air taxi for use around congested urban areas. Airbus formerly created the A^3 Ventures Vahana aircraft as an eVTOL technology demonstrator, and has now moved on to continuing development of the CityAirbus.",,,pre production,electric,autonomous
1,watchlist,Boeing PAV,Winged VTOL,https://transportup.com/aurora-flight-sciences-evtol,Winged VTOL,Autonomous," 30 feet wingspan, 28ft length",All-electric," 8 lifting rotors, 1 pusher propeller",50 miles, Undisclosed,flight testing,['http://www.aurora.aero/pav-evtol-passenger-air-vehicle/'],"The Boeing Passenger Air Vehicle is a venture originally headed by John Langford, who's company Aurora Flight Sciences was acquired by Boeing in November of 2017 (AFS is now a subsidiary of Boeing's NeXt technology ventures arm). The Boeing PAV is similar in design to the Kitty Hawk Cora, as it utilizes vertical lift propellors for takeoff and landing and transitions to forward flight using a single pusher propellor. The first flight of the PAV was on January 23rd, 2019.",Two-seater,,prototype production,electric,autonomous
2,watchlist,Bell Nexus Air Taxi,Winged VTOL,https://transportup.com/bell-air-taxi,Winged VTOL,Semi-Autonomous, , 6HX - Hybrid-Electric; 4EX - All-Electric, 6HX - 6 tilt-rotors; 4EX - 4 tilt-rotors  (all 8ft in diameter), 6HX - 150 miles; 4EX - 60 miles, 150 mph,prototype build,"['http://www.bellflight.com', 'http://eepurl.com/doMF3v']","The Bell Nexus is Bell Flight's Air Taxi, of which there are two versions. The 6HX, unveiled at CES 2019, has a range of up to 150 miles and is optimized for inter-urban mobility, which necessitates the use of hybrid-electric propulsion. The all-electric Nexus 4EX, unveiled at CES 2020, is instead designed with up to 60-mile intra-urban flights in mind, which enables the powerplant to be completely reliant on the latest battery technologies.",,,prototype production,hybrid electric,semi autonomous
3,watchlist,WISK Cora,Winged VTOL,https://transportup.com/wisk-cora/,,Autonomous,,,"6 lift propellers under each wing (non-tilting), 1 rear pusher-propeller for forward thrust.",,,flight testing,"['http://kittyhawk.aero', 'http://eepurl.com/doMF3v']","Cora is an experimental airworthiness certificate holding flying taxi that is being developed in New Zealand. Google's Larry Page is backing the project, which evolved from Zee.Aero. Cora operates as an eVTOL flying taxi with deployable rotors for vertical takeoff and landing and a single pusher propeller for sustained forward flight.",,,prototype production,undisclosed,autonomous
4,watchlist,EHang 216,Wingless VTOL,https://transportup.com/ehang-216/,<span> </span>,<span> </span>,"18' 4"" wingspan, 5' 9"" length",: All-Electric, 16 lift/thrust rotors (8 dual rotors),22 miles with max payload,80 mph,certification,"['http://www.ehang.com/ehang184/', 'http://eepurl.com/doMF3v']","The Ehang AAV is the largest autonomous aerial vehicle that Ehang, a Chinese company with a large wealth of experience in drone manufacturing, has designed and flown to date. Ehang mostly specializes in smaller drone technologies, but has scaled their experience and product with the AAV. EHang has conducted successful flight tests in extreme environments, including a typhoon, and has hosted numerous public demonstration flights. The company is quite popular in China and is rapidly spreading their global influence, having conducted demonstration flights in Asia, the middle east, Europe, and North America to date."," 2 Passengers, or 485 lbs total payload",,lrp,electric,undisclosed
5,watchlist,Joby Aviation S4,Winged VTOL,https://transportup.com/joby-aviation/,<span> </span>,<span> </span>,"35 ft wingspan, 24 ft length",: , ,150 miles,200 mph,prototype build,"['http://www.jobyaviation.com/#', 'http://eepurl.com/doMF3v']","Joby Aviation is a Santa Cruz, CA based company developing the Joby S4 eVTOL. The S4 has been kept predominantly under wraps from the public during the design phase, but recently announced plans for a new manufacturing facility to begin production of its vehicle. Joby's team is extremely experienced and has executed on numerous projects in the past that demanded a high degree of technical acuity, and the company is well-funded by Toyota and other investors.",1 pilot and 4 passengers,,prototype production,undisclosed,undisclosed
6,watchlist,Vertical Aerospace VA-1X,Winged VTOL,https://transportup.com/vertical-aerospace-va-1x/,Winged VTOL,"Piloted with autonomy, eventual full-autonomy", Undisclosed,All-electric,<span> </span>,<span>10</span>, 150 mph,prototype build,"['https://www.vertical-aerospace.com/', 'http://eepurl.com/doMF3v']","The Vertical Aerospace VA-1X is Vertical Aerospace's third aircraft created, and will be the final version set to undergo certification by EASA (European Aviation Safety Agency). The aircraft is set to begin commercial operations in 2024, with a 100 mile range and room for four passengers. The company's mission is connect entire regions as well as carrying out shorter missions across single cities by creating one of the best performing aircraft on the market.","One pilot, four passengers, 1000 lbs",,prototype production,electric,undisclosed
7,watchlist,Lilium Jet,Winged VTOL,https://transportup.com/lilium-jet/, Winged VTOL, Semi-, 36 ft wingspan, All-Electric,36, 300 km / 186 miles,300km/h / 187 mph ,flight testing,"['https://lilium.com/', 'http://eepurl.com/doMF3v']","The Lilium Jet is an eVTOL designed and manufactured near Munich, Germany. The Jet uses swiveling ducted fans to provide vertical thrust for takeoff and landing. These same fans then slowly rotate towards rear facing as the Jet accelerates and converts to its forward flight mode.", 5 passengers,,prototype production,electric,semi autonomous
8,watchlist,Volocopter 2X,Wingless VTOL,https://transportup.com/volocopter-2x,,Autonomous,, All-Electric, 18 independent electric motors and propellers,17 miles,62mph,flight testing,"['http://volocopter.com/en/', 'http://eepurl.com/doMF3v']","The Volocopter 2X is one of the most visually remarkable eVTOLs today - featuring almost 20 propellers (18, to be exact) all arranged in a circular symmetrical pattern. Volocopter has been successful thus far in garnering public support and even in hosting ride-along events for high-profile individuals.","2 passengers, 350 lbs max payload",,prototype production,electric,autonomous
9,watchlist,Workhorse SureFly,Wingless VTOL,https://transportup.com/workhorse-surefly,,,Undisclosed,,,,,flight testing,"['https://workhorse.com', 'http://eepurl.com/doMF3v']","The Workhorse SureFly VTOL is a hybrid-powered personal transport vehicle being developed in Ohio, with a target entry to market price of less than $200,000. The vehicle is developed by Workhorse, a leader in electric and hybrid vehicle solutions. The SureFly uses 8 contra-rotating propellors to generate lift, and is roughly the same size as a pickup truck.",,,prototype production,undisclosed,undisclosed
10,watchlist,LIFT Hexa,Wingless VTOL,https://transportup.com/lift-hexa/,,,,,,,,certification,['https://www.liftaircraft.com/'],"LIFT's Hexa is a short distance single-seater eVTOL designed to work much like shared scooter systems in urban areas do today. Users will be able to fly Hexa between landing ports in urban areas, guided by instructions from a mobile app. Hexa will take off and land autonomously, making the flight experience seamless. LIFT plans on initially launching in 25 U.S citizens, and is already takin pre-sale reservations.",,,lrp,undisclosed,undisclosed
11,watchlist,Aston Martin Volante,Winged VTOL,https://transportup.com/supervolant-pegasus/, Winged VTOL," Undisclosed, likely autonomous",,"Hybrid graphene, hydrogen fuel cell drive", 4 Maglev rim driven ducted fans, 1150 mi, 330 kts,prototype build,['http://eepurl.com/doMF3v'],"The Aston Martin Volante Vision is a four-rotored ducted fan eVTOL that can cruise at turboprop speeds at almost 30,000 feet - and features futuristic aerodynamic styling as well. The concept is likely over 10 years away from implementation, but is an acknowledgement of Aston Martin’s interest in establishment within the luxury segment of the aerial mobility industry.", undisclosed,Undisclosed,prototype production,hybrid electric,autonomous
12,watchlist,Karem Butterfly,Winged VTOL,https://transportup.com/karem-butterfly,<span> </span>,<span> </span>,Unknown,: All-Electric, Q,<span>100 miles (161 km)</span>,150-200 mph (240-322 km/h),flight testing,"['https://overair.com/', 'http://eepurl.com/doMF3v']","Overair (previously Karem Aircraft) is one of five companies selected by Uber to be partners for the UberAIR initiative, and gained a large amount of public attention and traction from this announcement.","1 pilot, 4 passengers",,prototype production,electric,undisclosed
